Product Name,Price
"realme Narzo 50i (Mint Green, 32 GB)","₹7,499"
"realme Narzo 50i (Carbon Black, 32 GB)","₹7,499"
"realme Narzo 50i (Mint Green, 64 GB)","₹8,999"
"realme Narzo 50i (Carbon Black, 64 GB)","₹8,999"
"realme Narzo 50A (Oxygen Blue, 64 GB)","₹11,549"
"realme Narzo 50A (Oxygen Blue, 128 GB)","₹12,499"
"realme Narzo 50A (Oxygen Green, 64 GB)","₹11,549"
"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","₹11,499"
"realme C21Y (Cross Blue, 32 GB)","₹9,499"
"realme C21Y (Cross Black, 32 GB)","₹9,499"
"realme C21Y (Cross Blue, 64 GB)","₹10,499"
"realme C21Y (Cross Black, 64 GB)","₹10,499"
"realme 8i (Space Purple, 128 GB)","₹15,999"
"realme 8i (Space Black, 64 GB)","₹13,999"
"realme C25Y (Metal Grey, 128 GB)","₹11,999"
"realme C25Y (Glacier Blue, 128 GB)","₹11,999"
"realme Narzo 50A (Oxygen Green, 128 GB)","₹12,499"
"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)","₹11,499"
"realme 8i (Space Black, 128 GB)","₹15,999"
"REDMI 9i Sport (Metallic Blue, 64 GB)","₹8,999"
"REDMI 9i (Sea Blue, 64 GB)","₹8,999"
"realme C11 2021 (Cool Blue, 32 GB)","₹7,499"
"realme C11 2021 (Cool Grey, 32 GB)","₹7,499"
"REDMI 9i Sport (Coral Green, 64 GB)","₹8,999"
